 EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 10-11-2017
THESE DATA CAN BE USED FREELY FOR NON-COMMERCIAL RESEARCH PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANTANDER/PARAYAS, SPAIN (STAID: 3923)
Blended and updated with sources:19990 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  3923, 19990,19550227,    8,    0
  3923, 19990,19550228,    0,    0
  3923, 19990,19550301,    0,    0
  3923, 19990,19550302,    0,    0
  3923, 19990,19550303,    0,    0
  3923, 19990,19550304,    0,    0
  3923, 19990,19550305,   28,    0
  3923, 19990,19550306,   77,    0
  3923, 19990,19550307,  257,    0
  3923, 19990,19550308,  486,    0
  3923, 19990,19550309,  135,    0
  3923, 19990,19550310,  298,    0
  3923, 19990,19550311,    0,    0
  3923, 19990,19550312,    0,    0
  3923, 19990,19550313,    0,    0
  3923, 19990,19550314,    0,    0
  3923, 19990,19550315,    0,    0
  3923, 19990,19550316,    0,    0
  3923, 19990,19550317,    0,    0
  3923, 19990,19550318,   11,    0
  3923, 19990,19550319,    0,    0
  3923, 19990,19550320,    0,    0
  3923, 19990,19550321,    0,    0
  3923, 19990,19550322,    0,    0
  3923, 19990,19550323,    0,    0
  3923, 19990,19550324,    0,    0
  3923, 19990,19550325,    0,    0
  3923, 19990,19550326,    0,    0
  3923, 19990,19550327,    0,    0
  3923, 19990,19550328,    0,    0
  3923, 19990,19550329,    0,    0
  3923, 19990,19550330,    9,    0
  3923, 19990,19550331,    0,    0
  3923, 19990,19550401,    0,    0
  3923, 19990,19550402,   17,    0
  3923, 19990,19550403,    0,    0
  3923, 19990,19550404,    0,    0
  3923, 19990,19550405,    0,    0
  3923, 19990,19550406,    0,    0
  3923, 19990,19550407,    0,    0
  3923, 19990,19550408,    0,    0
  3923, 19990,19550409,    0,    0
  3923, 19990,19550410,    0,    0
  3923, 19990,19550411,    0,    0
  3923, 19990,19550412,    0,    0
  3923, 19990,19550413,    0,    0
  3923, 19990,19550414,    0,    0
  3923, 19990,19550415,    0,    0
  3923, 19990,19550416,    0,    0
  3923, 19990,19550417,    0,    0
  3923, 19990,19550418,    0,    0
  3923, 19990,19550419,   42,    0
  3923, 19990,19550420,   39,    0
  3923, 19990,19550421,   23,    0
  3923, 19990,19550422,  244,    0
  3923, 19990,19550423,    0,    0
  3923, 19990,19550424,    0,    0
  3923, 19990,19550425,    0,    0
  3923, 19990,19550426,    0,    0
  3923, 19990,19550427,    0,    0
  3923, 19990,19550428,    0,    0
  3923, 19990,19550429,    0,    0
  3923, 19990,19550430,    4,    0
  3923, 19990,19550501,   22,    0
  3923, 19990,19550502,   26,    0
  3923, 19990,19550503,    0,    0
  3923, 19990,19550504,    6,    0
  3923, 19990,19550505,    0,    0
  3923, 19990,19550506,   26,    0
  3923, 19990,19550507,    0,    0
  3923, 19990,19550508,    0,    0
  3923, 19990,19550509,    0,    0
  3923, 19990,19550510,    0,    0
  3923, 19990,19550511,    2,    0
  3923, 19990,19550512,    0,    0
  3923, 19990,19550513,    0,    0
  3923, 19990,19550514,   78,    0
  3923, 19990,19550515,    0,    0
  3923, 19990,19550516,    0,    0
  3923, 19990,19550517,  157,    0
  3923, 19990,19550518,   12,    0
  3923, 19990,19550519,    0,    0
  3923, 19990,19550520,    0,    0
  3923, 19990,19550521,    0,    0
  3923, 19990,19550522,    0,    0
  3923, 19990,19550523,    0,    0
  3923, 19990,19550524,   26,    0
  3923, 19990,19550525,    0,    0
  3923, 19990,19550526,    7,    0
  3923, 19990,19550527,    0,    0
  3923, 19990,19550528,    0,    0
  3923, 19990,19550529,    0,    0
  3923, 19990,19550530,    0,    0
  3923, 19990,19550531,    0,    0
  3923, 19990,19550601,    0,    0
  3923, 19990,19550602,    0,    0
  3923, 19990,19550603,   66,    0
  3923, 19990,19550604,    0,    0
  3923, 19990,19550605,    0,    0
  3923, 19990,19550606,    7,    0
  3923, 19990,19550607,    0,    0
  3923, 19990,19550608,   22,    0
  3923, 19990,19550609,   60,    0
  3923, 19990,19550610,   27,    0
  3923, 19990,19550611,    0,    0
  3923, 19990,19550612,    0,    0
